Id,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,BsmtFullBath,GarageCars,SalePrice
1,7,5,2003,2003,856,1710,1,2,208500
2,6,8,1976,1976,1262,1262,0,2,181500
3,7,5,2001,2002,920,1786,1,2,223500
4,7,5,1915,1970,756,1717,1,3,140000
5,8,5,2000,2000,1145,2198,1,3,250000
6,5,5,1993,1995,796,1362,1,2,143000
7,8,5,2004,2005,1686,1694,1,2,307000
8,7,6,1973,1973,1107,2090,1,2,200000
9,7,5,1931,1950,952,1774,0,2,129900
10,5,6,1939,1950,991,1077,1,1,118000
11,5,5,1965,1965,1040,1040,1,1,129500
12,9,5,2005,2006,1175,2324,1,3,345000
13,5,6,1962,1962,912,912,1,1,144000
14,7,5,2006,2007,1494,1494,0,3,279500
15,6,5,1960,1960,1253,1253,1,1,157000
16,7,8,1929,2001,832,854,0,2,132000
17,6,7,1970,1970,1004,1004,1,2,149000
18,4,5,1967,1967,0,1296,0,2,90000
19,5,5,2004,2004,1114,1114,1,2,159000
20,5,6,1958,1965,1029,1339,0,1,139000
21,8,5,2005,2006,1158,2376,0,3,325300
22,7,7,1930,1950,637,1108,0,1,139400
23,8,5,2002,2002,1777,1795,0,2,230000
24,5,7,1976,1976,1040,1060,1,2,129900
25,5,8,1968,2001,1060,1060,1,1,154000
26,8,5,2007,2007,1566,1600,0,3,256300
27,5,7,1951,2000,900,900,0,2,134800
28,8,5,2007,2008,1704,1704,1,3,306000
29,5,6,1957,1997,1484,1600,1,1,207500
30,4,6,1927,1950,520,520,0,1,68500
31,4,4,1920,1950,649,1317,0,1,40000
32,5,6,1966,2006,1228,1228,0,1,149350
33,8,5,2007,2007,1234,1234,0,2,179900
34,5,5,1959,1959,1398,1700,0,2,165500
35,9,5,2005,2005,1561,1561,1,2,277500
36,8,5,2004,2005,1117,2452,0,3,309000
37,5,5,1994,1995,1097,1097,0,2,145000
38,5,6,1954,1990,1297,1297,0,2,153000
